Date,Open,High,Low,Close,Volume
2024-06-05,7.178,7.298,7.148,7.251,2836358.18
2024-06-06,7.25,7.288,7.056,7.144,2433999.18
2024-06-07,7.145,7.291,6.053,6.659,8416185.59
2024-06-08,6.659,6.683,6.338,6.384,3615115.34
2024-06-09,6.384,6.54,6.375,6.527,2659717.39
2024-06-10,6.527,6.582,6.357,6.506,2942181.04
2024-06-11,6.506,6.527,6.217,6.378,5420734.07
2024-06-12,6.378,6.931,6.276,6.738,7033186.82
2024-06-13,6.737,6.743,6.336,6.359,3581239.76
2024-06-14,6.36,6.488,6.0,6.163,5069082.95
2024-06-15,6.162,6.258,6.109,6.223,1928449.76
2024-06-16,6.223,6.428,6.149,6.396,3423193.06
2024-06-17,6.397,6.418,5.987,6.069,4149733.54
2024-06-18,6.069,6.089,5.46,5.771,10700166.19
2024-06-19,5.771,5.993,5.73,5.799,4114058.81
2024-06-20,5.798,5.972,5.6,5.642,3352117.74
2024-06-21,5.643,5.737,5.549,5.611,3503011.61
2024-06-22,5.612,5.805,5.541,5.751,2939866.91
2024-06-23,5.752,5.83,5.587,5.652,1702329.17
2024-06-24,5.651,5.74,5.389,5.729,5455119.88
2024-06-25,5.727,5.976,5.705,5.842,3888721.25
2024-06-26,5.841,5.949,5.757,5.799,2681962.98
2024-06-27,5.799,6.38,5.706,6.287,6316840.04
2024-06-28,6.286,6.442,6.159,6.19,3765151.4
2024-06-29,6.189,6.305,6.063,6.08,1478576.61
2024-06-30,6.08,6.26,6.023,6.215,1831777.53
2024-07-01,6.216,6.45,6.195,6.329,3174108.21
2024-07-02,6.33,6.611,6.314,6.531,5472083.79
2024-07-03,6.531,6.545,5.998,6.081,4570764.83
2024-07-04,6.082,6.134,5.539,5.556,6705156.48
2024-07-05,5.556,5.918,4.915,5.687,20535452.4
2024-07-06,5.686,6.312,5.631,6.24,11542351.46
2024-07-07,6.24,6.313,5.882,5.911,5276684.6
2024-07-08,5.909,6.293,5.695,5.944,6138945.03
2024-07-09,5.943,6.2,5.84,6.117,4353640.81
